국가명,확진수,사망수,회복수,검사수,인구,위도,경도,면적,확진수율,사망수율,회복수율,검사수율,인구밀도,감염율
Austria,5780229.0,21689.0,5730189.0,211273524.0,9066710.0,48.2083,16.3725,83879.0,2.7358984176360877,0.3752273482590396,99.13429035424029,2330.2115541359544,108.09272881174073,63.75222103717887
Denmark,3173247.0,8145.0,3163849.0,129144754.0,5834950.0,55.6805,12.5615,42934.0,2.457124197239944,0.256677151195605,99.70383648042525,2213.2966692088194,135.90511016909676,54.38344801583561
UAE,1049409.0,2348.0,1032735.0,198638806.0,10081785.0,23.7139,54.3035,83600.0,0.5283000945948094,0.22374498408151636,98.41110567948245,1970.274172678747,120.59551435406699,10.40896031803892
Spain,13731478.0,118434.0,13557699.0,471036328.0,46719142.0,40.4167,-3.7167,505370.0,2.915163265284286,0.8625000163857088,98.73444795964426,1008.2298343578314,92.44542018718958,29.391545760836102
Hong Kong,2877280.0,13358.0,2509483.0,76123870.0,7604299.0,22.3069,114.1831,1114.0,3.77973426731983,0.46425791024856805,87.21719818717678,1001.0636088875517,6826.1211849192105,37.83754426279135
Greece,5708301.0,35630.0,5662212.0,102228365.0,10316637.0,37.9842,23.7281,131957.0,5.5838719517816795,0.624178717975804,99.19259688653419,990.9078413828072,78.18180922573262,55.33102502297987
UK,24274361.0,204171.0,24020088.0,522526476.0,68497907.0,54.9817,-2.8012,243610.0,4.6455753181777535,0.8410973207492465,98.95250383727918,762.8356819720054,281.17855178358855,35.43810615994442
Bahrain,700452.0,1543.0,698400.0,10682444.0,1783983.0,26.225,50.5775,765.0,6.557038819955434,0.22028632939873108,99.70704630724161,598.7974100650061,2332.0039215686274,39.263378630850184
Czechia,4590019.0,42312.0,4538304.0,56893223.0,10736784.0,50.0833,14.4167,78867.0,8.067778125348953,0.9218262495209715,98.87331621067364,529.8907289184546,136.13785233367568,42.7504083159352
Oman,399449.0,4628.0,384669.0,25000000.0,5323993.0,23.6139,58.5922,309500.0,1.597796,1.1585959659430867,96.29990311654304,469.5723679576589,17.201915993537966,7.502808512332755
Portugal,5563907.0,26022.0,5532366.0,45915651.0,10140570.0,38.708,-9.139,92226.0,12.11766985510017,0.46769293591715316,99.43311417678261,452.79161822264433,109.95348383319238,54.867793427785614
Israel,4786189.0,12193.0,4768242.0,41373364.0,9326000.0,31.7833,35.2167,20325.0,11.568285817899651,0.2547538344181561,99.62502525495755,443.63461291014363,458.84378843788437,51.32092000857816
Italy,25453789.0,186833.0,25014986.0,265478247.0,60262770.0,41.8931,12.4828,302072.0,9.587900058719312,0.7340085988769687,98.27607984021553,440.534424487955,199.4980335813978,42.238000344159424
Georgia,1814180.0,16926.0,1776548.0,16920079.0,3968738.0,41.7225,44.7925,69700.0,10.722053957313085,0.9329834966761843,97.92567440937503,426.33398828544495,56.94028694404591,45.711760262330245
Latvia,975355.0,6218.0,968830.0,7858319.0,1848837.0,56.9475,24.1069,64589.0,12.411751164593852,0.6375114701826514,99.3310128107202,425.0412015769914,28.624641966898388,52.755056286735936
Singapore,2217110.0,1722.0,2144490.0,24756666.0,5943546.0,1.3,103.8,719.0,8.95560815822292,0.0776686767909576,96.7245648614638,416.5302329619389,8266.40611961057,37.30281552460434
France,39524311.0,164233.0,39264546.0,271490188.0,65584518.0,48.8566,2.3522,675417.0,14.558283410227702,0.41552400495988406,99.34277159189442,413.95468973333004,97.1022612697045,60.26469692130695
Lithuania,1296865.0,9545.0,1282528.0,10350770.0,2661708.0,54.6833,25.2833,65300.0,12.529164496940806,0.7360056752244837,98.89448786111122,388.87699176618924,40.76122511485452,48.723037989140806
USA,104196861.0,1132935.0,101322779.0,1159832679.0,334805269.0,39.5265,-102.0569,9830000.0,8.983783858361177,1.0873024284292019,97.24168082184357,346.4200794880561,34.05953906408952,31.12163118316994
Belgium,4691499.0,33557.0,4644681.0,36548544.0,11668278.0,50.8353,4.3314,30528.0,12.83634992409,0.7152724534311954,99.00206735629699,313.2299727517634,382.21560534591197,40.2072953695481
Australia,11295446.0,18615.0,11235771.0,78835048.0,26068792.0,-33.865,151.2094,7690000.0,14.327949670304,0.16480092950734304,99.47168974115763,302.41158853850993,3.389959947984395,43.32938020296452
Ireland,1700253.0,8462.0,1685183.0,12984257.0,5020199.0,53.3497,-6.2603,70282.0,13.094726945099747,0.4976906378050796,99.11366131981535,258.64028497675093,71.42937025127344,33.86823908773338
Chile,5118981.0,63812.0,5051555.0,48127301.0,19250195.0,-33.45,-70.6667,756102.0,10.636335081412524,1.2465762228849844,98.6828237885626,250.0094206837905,25.45978584899921,26.591839719026222
Finland,1458619.0,8639.0,1447569.0,12017711.0,5554960.0,60.1756,24.9342,338424.0,12.137244771487682,0.5922725536963388,99.24243411062108,216.34198986131312,16.41420230243718,26.25795685297464
Malaysia,5036593.0,36942.0,4989861.0,67665089.0,33181072.0,3.1478,101.6953,330252.0,7.443414431923677,0.7334720117349168,99.07215055891949,203.92677186559857,100.47197897363226,15.179114767600035
Norway,1477856.0,5112.0,1471835.0,11002430.0,5511370.0,59.9111,10.7528,386958.0,13.432087275265555,0.3459065023926553,99.59258547517484,199.63148908529095,14.242811881392813,26.814675842848512
Kuwait,662858.0,2570.0,660237.0,8455743.0,4380326.0,29.375,47.98,17818.0,7.839145536944536,0.3877150158857553,99.60459102854608,193.03912539842923,245.83713099113257,15.132617983227734
Sweden,2693458.0,23246.0,2658039.0,19410527.0,10218971.0,59.3294,18.0686,449964.0,13.876274456638916,0.8630541111092136,98.68499898643306,189.9460033696152,22.710641295748104,26.357428746984407
Russia,21958696.0,395108.0,21356008.0,273400000.0,145805947.0,55.7558,37.6178,17090000.0,8.031710314557424,1.799323602822317,97.2553561468313,187.50949849802765,8.53165283791691,15.060219731640986
Uruguay,1032710.0,7609.0,1023939.0,6114822.0,3496016.0,-34.8667,-56.1667,176000.0,16.888635515473712,0.7367992950586322,99.15068121737953,174.9082956142077,19.863727272727274,29.539624532610837
Canada,4550256.0,50380.0,4444013.0,66343123.0,38388419.0,43.7417,-79.3733,9980000.0,6.858670189523637,1.1071904525811294,97.66512038004016,172.82067021306608,3.8465349699398796,11.85319978923852
Panama,1029701.0,8596.0,1020206.0,7475016.0,4446964.0,9.0,-79.5,75420.0,13.77523472859456,0.8348054435219545,99.07788765865043,168.0925683230177,58.96266242376028,23.155145847818872
Jordan,1746997.0,14122.0,1731007.0,17201885.0,10300869.0,31.95,35.9333,89342.0,10.155846292426673,0.8083585718807761,99.08471508537221,166.99450308512806,115.29704953997,16.959705050127326
