국가,국가코드(ISO 2자리 코드),수출품,수입품,무역년도,우리나라와의 무역 수출액(US달러(호주는 AU달러),우리나라와의 무역 수입액(US달러(호주는 AU달러)
몰디브,MV,"기계류, 금속제품, 전자제품, 펌프",눈다랑어 등 수산가공품 등,2018,9030000,460000
몰타,MT,"선박, 제트및등유, 기타플라스틱제품, 승용차","집적회로반도체, 나프타, 계측기, 어육",2019,712000000,68000000
몽골,MN,"자동차 및 관련 부품, 농식품","광산물, 양모 제품 등",2019,150000000,12000000
미국,US,"자동차, 자동차 부품, 반도체, 석유제품","원유, 반도체, 항공기 및 부품, 반도체 제조용 장비",2019,73340000000,61880000000
미얀마,MM,"수송기계, 산업기계, 철강제품, 직물 등","섬유제품, 농산물, 신변잡화, 임산물 등",2019,600000000,600000000
바누아투,VU,"자동차, 전기기기","참치 등 어류, 가죽류",2019,7000000,18880000
바레인,BH,자동차 외,"나프타, 알루미늄 외",2019,288000000,514000000
바베이도스,BB,"자동차, 축전지, 철강, 타이어 등","의료용기기, 폐건전지 등",2019,9680000,680000
바하마,BS,"선박, 석유제품, 승용차,기계류 등",럼주 등,2019,2794000000,75000
방글라데시,BD,"기계류, 플라스틱, 철강, 제지, 화학제품","의류, 방직섬유, 신발, 원피, 동",2019,1280000000,400000000
베냉,BJ,"섬유제품, 차량, 시멘트 등","금속류, 면화 등",2018,38000000,57000000
베네수엘라,VE,"전자.기계, 철강, 자동차, 의료용품, 석유화학제품 등","석유.석탄, 알루미늄, 광석 등",2019,22000000,17000000
베트남,VN,"반도체, 평판디스플레이 및 센서, 무선통신기기, 기구부품, 석유제품 등","무선통신기기, 의류, 신변잡화, 평판디스플레이 및 센서 등",2019,48200000000,21100000000
벨기에,BE,"건설중장비, 합성수지, 승용차, 아연도강판 등","의약품, 기타정밀화학원료, 승용차, 기타정밀화학제품 등",2019,2707000000,1323000000
벨라루스,BY,"승용차, 타이어, 자동차부품 등","칼륨비료, 반도체, 직물 등",2019,47700000,55900000
벨리즈,BZ,"디스플레이, 고무제품, 의류 등","어류, 안료색소, 과일 등",2019,3200000,300000
보스니아헤르체고비나,BA,"승용차, 의약품, 전동기","금속광물, 직물제 의류 등",2019,3800000,23900000
보츠와나,BW,"인조섬유, 승용차 등",공업용 다이아몬드,2018,11020000,6470000
볼리비아,BO,"자동차 외 기계류, 철강제품, 전자제품 등","아연, 연, 은, 곡물 등",2019,30000000,451000000
부룬디,BI,"조제시약, 중장비부품, 기계, 엔진 등",커피,2018,2760000,299000
부르키나파소,BF,"화학제품, 차량부품 등","참깨, 의류 등",2018,29440000,420000
부탄,BT,"자동차, 타이어 및 자동차 부품, 가전제품, 동선, 중장비, 석유제품",고정 품목 없이 당시 이루어지는 수입에 따라 수입규모 및 품목이 좌우됨,2018,4600000,80000
